date,video_count,dict_sentiment_avg,sentimentr_score_avg,finbert_score_avg,ollama_score_avg,aggregate_sentiment_avg,dict_sentiment_std,sentimentr_score_std,finbert_score_std,ollama_score_std,aggregate_sentiment_std,total_views,total_likes,dict_weighted,sentimentr_weighted,finbert_weighted,ollama_weighted,aggregate_weighted,dict_sentiment_7day,sentimentr_score_7day,finbert_score_7day,ollama_score_7day,aggregate_sentiment_7day,dict_weighted_7day,sentimentr_weighted_7day,finbert_weighted_7day,ollama_weighted_7day,aggregate_weighted_7day
2022-08-09,1,-0.627254509018036,0.0648915586856339,0.603240847587585,-0.4,-0.08978052568620429,NA,NA,NA,NA,NA,84677,245,-0.627254509018036,0.0648915586856339,0.603240847587585,-0.4,-0.08978052568620429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-10,1,-0.494305239179954,0.0529228274976219,0.723044004291296,-0.5,-0.054584601847759026,NA,NA,NA,NA,NA,161415,348,-0.49430523917995395,0.05292282749762191,0.723044004291296,-0.5,-0.05458460184775902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-11,1,-0.607361963190184,0.052743926215093,0.43060952425003,0.7,0.14399787181873475,NA,NA,NA,NA,NA,61526,195,-0.607361963190184,0.052743926215093,0.43060952425003,0.7,0.14399787181873475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-12,1,-0.557522123893805,0.0609374121797591,0.594743773341179,0.4,0.1245397654067833,NA,NA,NA,NA,NA,140897,295,-0.557522123893805,0.06093741217975911,0.594743773341179,0.4,0.1245397654067833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-15,1,-0.536534446764092,0.0391389047529092,0.768909528851509,-0.7,-0.10712150328991844,NA,NA,NA,NA,NA,79420,239,-0.536534446764092,0.0391389047529092,0.768909528851509,-0.7,-0.10712150328991844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-16,1,-0.616942909760589,0.0360053261642761,0.206711530685425,0.7,0.08144348677227803,NA,NA,NA,NA,NA,57637,218,-0.616942909760589,0.0360053261642761,0.206711530685425,0.7,0.08144348677227803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-17,1,-0.427083333333333,0.0599420780962869,0.774999104440212,-0.7,-0.07303553769920851,NA,NA,NA,NA,NA,25026,137,-0.427083333333333,0.0599420780962869,0.774999104440212,-0.7,-0.07303553769920851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-18,1,-0.643286573146293,0.0505730945504538,0.799012750387192,0.2,0.1015748179478382,NA,NA,NA,NA,NA,46880,173,-0.643286573146293,0.0505730945504538,0.799012750387192,0.2,0.1015748179478382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-19,1,-0.421052631578947,0.0522751087570675,0.771384656429291,0.2,0.15065178340185287,NA,NA,NA,NA,NA,76860,197,-0.421052631578947,0.0522751087570675,0.771384656429291,0.2,0.15065178340185287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
