video_id,title,duration,playlist_name,word_count,source_file,finbert_score,processing_time,processed_at
-4SjM1mWGLA,Heathrow Airport Shut After Fire in Worst Disruption in Years | The Opening Trade 03/21,5679.437,The Opening Trade,14334,bloomberg_transcripts_part_1_of_5.csv,0.04684756137430668,0.3328895568847656,2025-06-09 13:43:48.372008
-4crp7x0L0Q,Bloomberg Surveillance 07/11/2024,8783.648,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",22158,bloomberg_transcripts_part_1_of_5.csv,0.7827999964356422,0.3204944133758545,2025-06-09 13:43:49.195467
-AMx8rA9Dz0,"Hiring Rebounds, But US Jobless Rate Ticks Up | Bloomberg Surveillance | December 6, 2024",19065.463,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,29088,bloomberg_transcripts_part_1_of_5.csv,0.8199142813682556,0.32446861267089844,2025-06-09 13:43:50.021827
-Abm7ocqp8c,The Fed Decides Special | Powell Holds Rates Steady | 03/19/2025,7907.924,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",19307,bloomberg_transcripts_part_1_of_5.csv,0.8603427074849606,0.32727766036987305,2025-06-09 13:43:50.851834
-Ajd-LZCizM,August Jobs Report | Bloomberg Surveillance Show 09/02/2022,7936.9,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",26755,bloomberg_transcripts_part_1_of_5.csv,0.3872314617037773,0.323453426361084,2025-06-09 13:43:51.67682
-GPMBAEPND8,Asian Stocks Under Pressure After Blowout US Jobs Report | Bloomberg: The Asia Trade 1/13/25,5338.93,The Asia Trade,16767,bloomberg_transcripts_part_1_of_5.csv,0.04484565556049347,0.2900431156158447,2025-06-09 13:43:52.64324
-GzBUN2Mhe4,Bloomberg Open Interest 04/09/2024,5151.542,Bloomberg Open Interest,17132,bloomberg_transcripts_part_1_of_5.csv,0.026758107356727123,0.39317893981933594,2025-06-09 13:43:53.538176
-J8xA8XZy-k,Tariff Timing Saps US Stocks | Bloomberg Open Interest 03/26/2025,10470.803,Bloomberg Open Interest,16470,bloomberg_transcripts_part_1_of_5.csv,0.17222273349761963,0.32057738304138184,2025-06-09 13:43:54.360614
-JHT_VmQX48,China's Growth Outlook Slashed; Nvidia Earnings Underwhelm | Bloomberg: The China Show 8/29/2024,5157.764,Bloomberg The China Show,15774,bloomberg_transcripts_part_1_of_5.csv,0.19677887856960297,0.3211963176727295,2025-06-09 13:43:55.184347
-KxInNNZ2oY,Bloomberg Surveillance 04/29/2025,8209.774,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",20332,bloomberg_transcripts_part_1_of_5.csv,0.7535276487469673,0.6020174026489258,2025-06-09 13:43:56.289506
-KyO9LXaTNM,China Urges Nations to Resist ‘Bully’ Trump | Bloomberg: The China Show 4/29/2025,5179.793,Bloomberg The China Show,15276,bloomberg_transcripts_part_1_of_5.csv,0.48329879343509674,0.8515985012054443,2025-06-09 13:43:58.032302
-L-S3tOa0rc,Jobs Day | Bloomberg Surveillance 01/06/2023,8540.636,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",29447,bloomberg_transcripts_part_1_of_5.csv,0.5847302041947842,0.8566465377807617,2025-06-09 13:43:59.393471
